"sim","N","beta0","beta1","muU","sigmaU","q","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle"
"11422-1",2200,-2.245641,0.1549768,-0.7,0.2,0.1,0.112077839027135,0.249132546842471,-2.24501576573983,0.00125447272315999,0.155604059983562,0.00203233905286406,-2.24563289999371,0.00144808766414192,0.109394803467806,0.00197892590468636,-2.24544857673887,0.00411351857269245,0.161180570894492,0.00627469091117485,-2.24518687356294,NA,0.154986381727133,NA
"11422-2",2200,-2.245641,0.1549768,-0.7,0.2,0.1,0.111546749486937,0.246474143720618,-2.24648753575972,0.00123462775164396,0.156146367962586,0.00206251411847301,-2.24688891130114,0.00142268341739306,0.106451382740533,0.00197909458896235,-2.25156510791113,0.00402236091767876,0.155390507552812,0.00639660424309839,-2.24717947553515,NA,0.1552094907315,NA
"11422-3",2200,-2.245641,0.1549768,-0.7,0.2,0.1,0.111976099392457,0.236662106703146,-2.24419159663844,0.0012447920770348,0.155046537807577,0.00204328110745108,-2.24455000083705,0.00142511272149729,0.108832769738583,0.0019758702812222,-2.24145211830382,0.00393444630667533,0.155153317460873,0.00645407797932688,-2.24435895454422,NA,0.155744729717939,NA
"11422-4",2200,-2.245641,0.1549768,-0.7,0.2,0.1,0.111717609268085,0.240905971173644,-2.24645513559188,0.00124838163259732,0.15395267021919,0.00204397160385699,-2.2462162734802,0.00143244231222954,0.106677280332994,0.00197921273568753,-2.24554862840022,0.00394229559028495,0.152125872857289,0.00647075219391742,-2.24641038836689,NA,0.154634217209197,NA
"11422-5",2200,-2.245641,0.1549768,-0.7,0.2,0.1,0.111559255181262,0.233465608465608,-2.24345073043007,0.00122332834019204,0.152496373031038,0.00207947338692049,-2.24250283233859,0.00139663529788827,0.101393000807313,0.00197850179189925,-2.2393328252417,0.00410159867827091,0.154697164509609,0.00626656144724146,-2.24350117688657,NA,0.152200321579077,NA
"11422-6",2200,-2.245641,0.1549768,-0.7,0.2,0.1,0.111755873746181,0.217185385656292,-2.24486628260591,0.00123841273631477,0.154562911247749,0.00205543604942305,-2.24471308173603,0.00139974591102028,0.109142202042748,0.0019767947065508,-2.25048447247402,0.00397787984332801,0.155204807266564,0.00644323415231389,-2.24476561576631,NA,0.154768902067118,NA
"11422-7",2200,-2.245641,0.1549768,-0.7,0.2,0.1,0.111812957411799,0.246735395189003,-2.24717722846922,0.00124924148533448,0.157769758669638,0.00204070195133096,-2.24698749019379,0.00143924629600607,0.10877413675392,0.00197894359561871,-2.25065194130856,0.0040362616641498,0.16448724946887,0.00636329873999729,-2.24734942121643,NA,0.15754534201935,NA
"11422-8",2200,-2.245641,0.1549768,-0.7,0.2,0.1,0.111505471488819,0.240616621983914,-2.24857121724525,0.00123497601608835,0.161477786737852,0.00206445850329289,-2.2481402012417,0.00141696609374224,0.109124652133536,0.00197986030371319,-2.23926185863642,0.00377525018763545,0.144716942506276,0.00676098421638151,-2.24873813751964,NA,0.16133316375499,NA
"11422-9",2200,-2.245641,0.1549768,-0.7,0.2,0.1,0.111510556778308,0.237656352863726,-2.2448329008918,0.00122116380637844,0.156661890967527,0.0020823442287966,-2.24426339983458,0.00139814295357782,0.103978800414374,0.00197827045883307,-2.24096092417774,0.00390359935208537,0.155773451205831,0.00648625164945252,-2.2446007674091,NA,0.15646199230552,NA
"11422-10",2200,-2.245641,0.1549768,-0.7,0.2,0.1,0.111801001328633,0.253028263795424,-2.24470032211956,0.00123470679977411,0.156896014073975,0.00205895105029153,-2.24505478952178,0.00142900123558281,0.106133069383726,0.00197802575800349,-2.2420061646906,0.00399103662730545,0.155838005030016,0.00638383486706276,-2.24469367728064,NA,0.157160828273,NA
"11422-11",2200,-2.245641,0.1549768,-0.7,0.2,0.1,0.111380558102061,0.257161892071952,-2.24741909947855,0.00123049226329933,0.1570132985969,0.00207231713720745,-2.24721858611597,0.00142722294155853,0.103574323400792,0.00198157421175967,-2.25221740211826,0.00386143333528111,0.149976270157476,0.00664863761747429,-2.24727186684283,NA,0.156730928169982,NA
"11422-12",2200,-2.245641,0.1549768,-0.7,0.2,0.1,0.111574533044487,0.22958500669344,-2.24347570628936,0.00123102648655584,0.149464404475276,0.00206768399988805,-2.24432481799415,0.00140297682233497,0.104735605695,0.00197818306228789,-2.24266548773678,0.00384492984028693,0.143953598616065,0.00663893635921005,-2.24357100651646,NA,0.148754140021254,NA
"11422-13",2200,-2.245641,0.1549768,-0.7,0.2,0.1,0.111962325325943,0.226989619377163,-2.24542511078593,0.00125234400431984,0.154699823878326,0.00203487705664859,-2.24449952383878,0.00142407909205583,0.108477759815664,0.00197566538816681,-2.2420579062398,0.00389621440245222,0.147026300316823,0.00653295078644939,-2.24551677895111,NA,0.155279640506524,NA
